x;y
513.0;910.0
510.0;911.0
510.0;912.0
510.0;914.0
510.0;914.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
509.0;915.0
...;...
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;111.0
504.0;112.0
504.0;112.0
504.0;112.0
