x;y
513.0;517.0
513.0;517.0
513.0;517.0
513.0;517.0
513.0;517.0
512.0;517.0
512.0;517.0
512.0;517.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
512.0;516.0
...;...
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;516.0
511.0;517.0
511.0;516.0
511.0;517.0
511.0;517.0
511.0;517.0
511.0;517.0
511.0;517.0
511.0;517.0
512.0;517.0
512.0;517.0
512.0;518.0
